Wavelength,Reflectance
500,0.55
506.6666667,0.55
513.3333333,0.55
520,0.55
526.6666667,0.55
533.3333333,0.55
540,0.55
546.6666667,0.55
553.3333333,0.55
560,0.55
566.6666667,0.55
573.3333333,0.55
580,0.55
586.6666667,0.55
593.3333333,0.55
600,0.55
606.6666667,0.55
613.3333333,0.55
620,0.55
626.6666667,0.55
633.3333333,0.55
640,0.55
646.6666667,0.55
653.3333333,0.55
660,0.55
666.6666667,0.55
673.3333333,0.55
680,0.55
686.6666667,0.55
693.3333333,0.55
700,0.55
706.6666667,0.55
713.3333333,0.55
720,0.55
726.6666667,0.55
733.3333333,0.55
740,0.55
746.6666667,0.55
753.3333333,0.55
760,0.55
766.6666667,0.55
773.3333333,0.55
780,0.55
786.6666667,0.55
793.3333333,0.55
800,0.55
806.6666667,0.55
813.3333333,0.55
820,0.55
826.6666667,0.55
833.3333333,0.55
840,0.55
846.6666667,0.55
853.3333333,0.55
860,0.55
866.6666667,0.55
873.3333333,0.55
880,0.55
886.6666667,0.55
893.3333333,0.55
900,0.55
906.6666667,0.55
913.3333333,0.55
920,0.55
926.6666667,0.55
933.3333333,0.55
940,0.55
946.6666667,0.55
953.3333333,0.55
960,0.55
966.6666667,0.55
973.3333333,0.55
980,0.55
986.6666667,0.55
993.3333333,0.55
1000,0.55
1006.666667,0.55
1013.333333,0.55
1020,0.55
1026.666667,0.55
1033.333333,0.55
1040,0.55
1046.666667,0.55
1053.333333,0.55
1060,0.55
1066.666667,0.55
1073.333333,0.55
1080,0.55
1086.666667,0.55
1093.333333,0.55
1100,0.55
1106.666667,0.55
1113.333333,0.55
1120,0.55
1126.666667,0.55
1133.333333,0.55
1140,0.55
1146.666667,0.55
1153.333333,0.55
1160,0.55
1166.666667,0.55
1173.333333,0.55
1180,0.55
1186.666667,0.55
1193.333333,0.55
1200,0.55
1206.666667,0.55
1213.333333,0.55
1220,0.55
1226.666667,0.55
1233.333333,0.55
1240,0.55
1246.666667,0.55
1253.333333,0.55
1260,0.55
1273.333333,0.55
1280,0.55
1286.666667,0.55
1293.333333,0.55
1300,0.55
1306.666667,0.55
1313.333333,0.55
1320,0.55
1326.666667,0.55
1333.333333,0.55
1340,0.55
1346.666667,0.55
1353.333333,0.55
1360,0.55
1366.666667,0.55
1373.333333,0.55
1380,0.55
1386.666667,0.55
1393.333333,0.55
1400,0.55
1406.666667,0.55
1413.333333,0.55
1420,0.55
1426.666667,0.55
1433.333333,0.55
1440,0.55
1446.666667,0.55
1453.333333,0.55
1460,0.55
1466.666667,0.55
1473.333333,0.55
1480,0.55
1486.666667,0.55
1493.333333,0.55
1500,0.55
1506.666667,0.55
